SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
745906,CLX,007782-50-5,,0,UNKNOWN AMOUNT,CHLORINE,NO,,
745907,NTX,010102-43-9,,35,POUND(S),NITRIC OXIDE,NO,,
745909,OHY,000000-00-0,,40,GALLON(S),HYDRAULIC OIL,NO,,
745910,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
745911,EGL,000107-21-1,,3,GALLON(S),ETHYLENE GLYCOL,NO,,
745912,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
745913,OSX,000000-00-0,,200,BARREL(S),"OIL, FUEL: NO. 6",NO,,
745914,NCC,000000-00-0,,1,EACH,LITHIUM-ION BATTERY,YES,1,EACH
745916,OIL,000000-00-0,,50,BARREL(S),OIL: CRUDE,NO,,
745917,BSS,000000-00-0,,2,GALLON(S),BILGE SLOPS,NO,,
745918,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745919,OTD,000000-00-0,,2,GALLON(S),"OIL, FUEL: NO. 2-D",YES,2,GALLON(S)
745920,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745921,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
745922,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL,NO,,
745924,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
745925,NCC,000000-00-0,,20,BARREL(S),MONOETHYLENE GLYCOL,NO,,
745926,OTF,000000-00-0,,15,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0,UNKNOWN AMOUNT
745927,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
745928,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
745929,BSS,000000-00-0,,1,CUP(S),BILGE SLOPS,YES,1,CUP(S)
745930,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN,NO,,
745931,OTW,000000-00-0,,2,GALLON(S),"OIL, FUEL: NO. 2",NO,,
745932,OTW,000000-00-0,,1,GALLON(S),"OIL, FUEL: NO. 2",NO,,
745933,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
745934,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745935,OIL,000000-00-0,,3,BARREL(S),OIL: CRUDE,NO,,
745936,NCC,000000-00-0,,100,POUND(S),PROPYLENE OXIDE,NO,,
745937,GAS,000000-00-0,,10,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,10,GALLON(S)
745938,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745940,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745943,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745944,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
745945,OHY,000000-00-0,,25,GALLON(S),HYDRAULIC OIL,NO,,
745946,GAS,000000-00-0,,2,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,2,GALLON(S)
745946,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LACQUER THINNER,YES,0,UNKNOWN AMOUNT
745948,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,YES,1,GALLON(S)
745949,NCC,000000-00-0,,30.63,POUND(S),NOX,NO,,
745950,NCC,000000-00-0,,38,POUND(S),NOX,NO,,
745951,NCC,000000-00-0,,1,GALLON(S),SYNTHETIC BASED DRILLING MUD.,YES,1,GALLON(S)
745952,NTX,010102-43-9,,716,POUND(S),NITRIC OXIDE,NO,,
745952,PRP,000000-00-0,,0.33,POUND(S),PROPANE,NO,,
745953,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
745955,OTD,000000-00-0,,60,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
745956,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745957,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
745958,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PAINT,UNKNOWN,0,UNKNOWN AMOUNT
745958,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PAINT THINNER,UNKNOWN,0,UNKNOWN AMOUNT
745959,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN HAZARDOUS WASTE,NO,,
745960,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
745962,OTF,000000-00-0,,5,GALLON(S),"OIL, MISC: TRANSFORMER",NO,,
745962,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,NO,,
745963,NCC,000000-00-0,,0,UNKNOWN AMOUNT,HYDROCARBONS,NO,,
745964,OIL,000000-00-0,,1.4,GALLON(S),OIL: CRUDE,YES,1.4,GALLON(S)
745965,NCC,000000-00-0,,1,QUART(S),PAINT,NO,,
745966,OTH,000000-00-0,,15,GALLON(S),TURBINE OIL,YES,5,GALLON(S)
745967,ODS,000000-00-0,,0.5,PINT(S),OIL: DIESEL,YES,0.5,PINT(S)
745968,OIL,000000-00-0,,2,GALLON(S),OIL: CRUDE,NO,,
745970,NTO,000000-00-0,,0,UNKNOWN AMOUNT,NITROUS OXIDE,NO,,
745970,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
745971,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745972,OTH,000000-00-0,,3000,GALLON(S),WATER SOLUBLE OIL,NO,,
745973,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
745974,VCI,000000-00-0,,0,UNKNOWN AMOUNT,VINYLIDENE CHLORIDE,NO,,
745975,SFA,007664-93-9,,1000,GALLON(S),SULFURIC ACID,NO,,
745976,HCL,007647-01-0,,0,UNKNOWN AMOUNT,HYDROCHLORIC ACID,NO,,
745977,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
745979,OTW,000000-00-0,,30,GALLON(S),"OIL, FUEL: NO. 2",NO,,
745980,JPE,000000-00-0,,100,GALLON(S),JET FUEL: JP-8,YES,0,UNKNOWN AMOUNT
