"","SEQNOS","DATE_TIME_RECEIVED","DATE_TIME_COMPLETE","CALLTYPE","RESPONSIBLE_COMPANY","RESPONSIBLE_ORG_TYPE","RESPONSIBLE_CITY","RESPONSIBLE_STATE","RESPONSIBLE_ZIP","SOURCE","DESCRIPTION_OF_INCIDENT","TYPE_OF_INCIDENT","INCIDENT_CAUSE","INCIDENT_DATE_TIME","INCIDENT_DTG","INCIDENT_LOCATION","LOCATION_ADDRESS","LOCATION_STREET1","LOCATION_STREET2","LOCATION_NEAREST_CITY","LOCATION_STATE","LOCATION_COUNTY","LOCATION_ZIP","DISTANCE_FROM_CITY","DISTANCE_UNITS","DIRECTION_FROM_CITY","LAT_DEG","LAT_MIN","LAT_SEC","LAT_QUAD","LONG_DEG","LONG_MIN","LONG_SEC","LONG_QUAD","LOCATION_SECTION","LOCATION_TOWNSHIP","LOCATION_RANGE","POTENTIAL_FLAG","FIRE_INVOLVED","FIRE_EXTINGUISHED","ANY_EVACUATIONS","NUMBER_EVACUATED","WHO_EVACUATED","RADIUS_OF_EVACUATION","ANY_INJURIES","NUMBER_INJURED","NUMBER_HOSPITALIZED","ANY_FATALITIES","NUMBER_FATALITIES","ANY_DAMAGES","DAMAGE_AMOUNT","AIR_CORRIDOR_CLOSED","AIR_CORRIDOR_DESC","AIR_CLOSURE_TIME","WATERWAY_CLOSED","WATERWAY_DESC","WATERWAY_CLOSURE_TIME","ROAD_CLOSED","ROAD_DESC","ROAD_CLOSURE_TIME","CLOSURE_DIRECTION","MAJOR_ARTERY","TRACK_CLOSED","TRACK_DESC","TRACK_CLOSURE_TIME","MEDIA_INTEREST","MEDIUM_DESC","ADDITIONAL_MEDIUM_INFO","BODY_OF_WATER","TRIBUTARY_OF","NEAREST_RIVER_MILE_MAKER","RELEASE_SECURED","ESTIMATED_DURATION_OF_RELEASE","RELEASE_RATE","DESC_REMEDIAL_ACTION","STATE_AGENCY_ON_SCENE","STATE_AGENCY_REPORT_NUM","OTHER_AGENCY_NOTIFIED","WEATHER_CONDITIONS","AIR_TEMPERATURE","WIND_SPEED","WIND_DIRECTION","WATER_SUPPLY_CONTAMINATED","SHEEN_SIZE","SHEEN_COLOR","DIRECTION_OF_SHEEN_TRAVEL","SHEEN_ODOR_DESCRIPTION","WAVE_CONDITION","CURRENT_SPEED","CURRENT_DIRECTION","WATER_TEMPERATURE","TRACK_CLOSE_DIR","EMPL_FATALITY","PASS_FATALITY","COMMUNITY_IMPACT","WIND_SPEED_UNIT","EMPLOYEE_INJURIES","PASSENGER_INJURIES","OCCUPANT_FATALITY","CURRENT_SPEED_UNIT","ROAD_CLOSURE_UNITS","TRACK_CLOSURE_UNITS","SHEEN_SIZE_UNITS","ADDITIONAL_INFO","STATE_AGENCY_NOTIFIED","FEDERAL_AGENCY_NOTIFIED","NEAREST_RIVER_MILE_MARKER","SHEEN_SIZE_LENGTH","SHEEN_SIZE_LENGTH_UNITS","SHEEN_SIZE_WIDTH","SHEEN_SIZE_WIDTH_UNITS","OFFSHORE","DURATION_UNIT","RELEASE_RATE_UNIT","RELEASE_RATE_RATE","PASSENGERS_TRANSFERRED","CHRIS_CODE","CAS_NUMBER","UN_NUMBER","AMOUNT_OF_MATERIAL","UNIT_OF_MEASURE","NAME_OF_MATERIAL","IF_REACHED_WATER","AMOUNT_IN_WATER","UNIT_OF_MEASURE_REACH_WATER","Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12"
"56111",765287,"7/12/05 17:51","7/12/05 17:53","INC","TAYLOR ENERGY CO.","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CRUDE OIL SPILLED INTO THE GULF OF MEXICO FROM THE PLATFORM FLARE BOOM.","PLATFORM","EQUIPMENT FAILURE","7/12/05 15:30","OCCURRED","PLATFORM INCIDENT","SHIP SHOAL BLOCK 229","PLATFORM A","","","LA","SHIP SHOAL","",NA,"","",28,27,21,"N",91,4,53,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"Y","","","DISSIPATE NATURALLY","","",NA,"CLEAR",85,10,"SE","N",NA,"","","","1     SMOOTH ( < 1 FT)",NA,"",NA,"",NA,NA,"N","MPH",NA,NA,NA,"",NA,NA,NA,"NONE","","","","1","MILES","300","FEET","Y","","","","UNK","OIL","000000-00-0",NA,3.2,"GALLON(S)","OIL: CRUDE","YES",3.2,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71263",779898,"11/17/05 15:58","11/17/05 16:02","INC","TAYLOR ENERGY COMPANY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CRUDE OIL SPILLED INTO THE GULF OF MEXICO FROM AN NPDES PERMITTED DISCHARGE POINT DUE TO A SYSTEM UPSET. NPDES PERMIT NUMBER: GMG290126","PLATFORM","EQUIPMENT FAILURE","11/17/05 14:15","OCCURRED","PLATFORM INCIDENT","","","","","LA","SOUTH MARSH ISLAND","",NA,"","",28,37,4,"N",92,4,10,"W","","","","","N","U","N",NA,"",NA,"N",NA,NA,"N",NA,"N",NA,"N",NA,NA,"N","",NA,"N","",NA,"","N","N","",NA,"NONE","WATER","GULF OF MEXICO","GULF OF MEXICO","",NA,"Y","","","DISSIPATE NATURALLY","","",NA,"CLEAR",NA,NA,"","N",NA,"BARELY DISCERNIBLE","","","5     VERY ROUGH (8 - 12 FT)",NA,"",NA,"",NA,NA,"N","",NA,NA,NA,"",NA,NA,NA,"NONE","","","","1","MILES",".5","MILES","Y","","","","UNK","OIL","000000-00-0",NA,9.3,"GALLON(S)","OIL: CRUDE","YES",9.3,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75701",1234580,"1/4/19 17:13","1/4/19 17:21","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 2.59 GALLONS OF CRUDE OIL INTO MISSISSIPPI CANYON BLOCK 20 OF THE GULF OF MEXICO. DISCHARGE IS FROM A PLATFORM THAT WAS DAMAGED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","1/4/2019 9:15","DISCOVERED","MISSISSIPPI CANYON BLOCK 20","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,2.59,"GALLON(S)","OIL: CRUDE","YES",2.59,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75770",1234665,"1/6/19 11:07","1/6/19 11:13","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.
","PLATFORM","HURRICANE","1/6/2019 8:09","DISCOVERED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,16,"N",88,58,13,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,168.84,"GALLON(S)","OIL: CRUDE","YES",168.84,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75927",1234831,"1/8/19 13:50","1/8/19 13:57","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CRUDE OIL DISCHARGED FROM A DOWNED PLATFORM AS A RESULT OF HURRICANE IVAN.","PLATFORM","HURRICANE","1/8/2019 9:30","DISCOVERED","GULF OF MEXICO","LAT: 28N 56.16'","LONG: -88W 58.13'","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,392.72,"GALLON(S)","OIL: CRUDE","YES",392.72,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76139",1235047,"1/11/19 14:11","1/11/19 14:18","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.","PLATFORM","HURRICANE","1/11/2019 9:30","DISCOVERED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,57,44,"N",88,59,33,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,2.53,"GALLON(S)","OIL: CRUDE","YES",2.53,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76327",1235263,"1/15/19 12:15","1/15/19 12:18","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING A RELEASE FROM A DOWNED PLATFORM DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","1/15/2019 9:55","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,33.08,"GALLON(S)","OIL: CRUDE","YES",33.08,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76522",1235497,"1/18/19 13:03","1/18/19 13:09","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT, THE CREW DISCOVERED A SHEEN IN THE AREA  OF THE DESTROYED TAYLOR ENERGY PLATFORM.","PLATFORM","HURRICANE","1/18/2019 10:30","DISCOVERED","PLATFORM INCIDENT","SEE LAT/LONG","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,24,"N",88,57,36,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,50.57,"GALLON(S)","OIL: CRUDE","YES",50.57,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76638",1235624,"1/20/19 11:21","1/20/19 11:27","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","70130","TELEPHONE","CALLER IS REPORTING THE 0.49 GALLON DISCHARGE OF CRUDE OIL FROM THE DESTROYED TAYLOR ENERGY PLATFORM DUE TO HURRICANE IVAN.","PLATFORM","HURRICANE","1/20/2019 8:50","OCCURRED","PLATFORM INCIDENT - MISSISSIPPI CANYON 20","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",NA,NA,NA,"",NA,NA,NA,"","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,0.49,"GALLON(S)","OIL: CRUDE","YES",0.49,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76692",1235686,"1/21/19 12:26","1/21/19 12:29","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED A SHEEN COMING FROM A DOWNED PLATFORM DUE TO DAMAGE FROM HURRICANE IVAN.","PLATFORM","HURRICANE","1/21/2019 8:40","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,10.24,"GALLON(S)","OIL: CRUDE","YES",10.24,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76971",1236008,"1/25/19 13:33","1/25/19 13:38","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THAT DURING AN OVERFLIGHT OF THE PLATFORM DESTROYED BY HURRICANE IVAN, A SHEEN WAS FOUND TO BE EMANATING FROM THAT PLATFORM.","PLATFORM","HURRICANE","1/25/2019 9:36","DISCOVERED","PLATFORM INCIDENT","MISSISSIPPI CANYON AREA","BLOCK 20","SEE LAT/LONG","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,50,6,"N",89,4,24,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,31.4,"GALLON(S)","OIL: CRUDE","YES",31.4,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77141",1236198,"1/28/19 13:45","1/28/19 13:48","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CRUDE OIL DISCHARGED FROM A DOWNED PLATFORM AS A RESULT OF HURRICANE IVAN.","PLATFORM","HURRICANE","1/28/2019 10:45","DISCOVERED","GULF OF MEXICO","LAT: 28N .94'","LONG: -88W .97'","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,1.54,"GALLON(S)","OIL: CRUDE","YES",1.54,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77342",1236429,"1/31/19 12:20","1/31/19 12:27","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED 1.3 GALLONS OF CRUDE OIL WAS RELEASED INTO THE GULF OF MEXICO FROM PLATFORM DUE TO DAMAGE FROM HURRICANE IVAN.","PLATFORM","NATURAL PHENOMENON","1/31/2019 9:25","OCCURRED","PLATFORM INCIDENT","SEE LAT LONG","BLOCK 20","","VENICE","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,1.3,"GALLON(S)","OIL: CRUDE","YES",1.3,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77808",1236997,"2/6/19 16:37","2/6/19 16:43","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER IS REPORTING A DISCHARGE OF APPROXIMATELY 0.065 GALLONS OF CRUDE OIL INTO MISSISSIPPI CANYON BLOCK 20 OF THE GULF OF MEXICO. DISCHARGE IS FROM A PLATFORM THAT WAS DAMAGED DURING HURRICANE IVAN.","PLATFORM","HURRICANE","2/6/2019 13:00","DISCOVERED","MISSISSIPPI CANYON BLOCK 20","","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,10,"N",88,58,8,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,0.065,"GALLON(S)","OIL: CRUDE","YES",0.065,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78046",1237266,"2/9/19 11:31","2/9/19 11:36","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED 1.11 GALLONS OF CRUDE OIL WAS RELEASED INTO THE GULF OF MEXICO FROM PLATFORM DAMAGE DUE TO HURRICANE IVAN.","PLATFORM","NATURAL PHENOMENON","2/9/2019 9:00","DISCOVERED","PLATFORM INCIDENT","SEE LAT LONG","BLOCK 20","","VENICE","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,16,"N",88,58,13,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,1.11,"GALLON(S)","OIL: CRUDE","YES",1.11,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78170",1237409,"2/11/19 16:05","2/11/19 16:10","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTS THE DISCOVERY OF A SHEEN FROM A PLATFORM DUE TO DAMAGE DURING HURRICANE IVAN.
ESTIMATE AMOUNT IS 8.02 GALLONS OF CRUDE OIL.","PLATFORM","HURRICANE","2/11/2019 13:00","DISCOVERED","PLATFORM INCIDENT","","","","","LA","MISSISSIPPI CANYON AREA","",NA,"","",28,56,24,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUN","000000-00-0",NA,0,"UNKNOWN AMOUNT","UNKNOWN OIL","YES",0,"UNKNOWN AMOUNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78503",1237778,"2/15/19 13:56","2/15/19 14:01","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED 181.67 GALLONS OF CRUDE OIL DISCHARGED INTO THE GULF OF MEXICO FROM A PLATFORM THAT WAS DESTROYED BY HURRICANE IVAN.","PLATFORM","HURRICANE","2/15/2019 9:00","DISCOVERED","SEE LAT AND LONG/ PLATFORM INCIDENT","","","","VENICE","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,16,"N",88,58,12,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,181.67,"GALLON(S)","OIL: CRUDE","YES",181.67,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78643",1237937,"2/18/19 6:04","2/18/19 6:25","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","MESSAGE TRAFFIC","///NOAA/NESDIS REPORT///

POSSIBLE OIL WAS OBSERVED IN SATELLITE IMAGERY. THIS ANOMALY IS UNCONFIRMED AS OIL. THE BROKEN ANOMALY WAS ATTACHED TO THE DESTROYED TAYLOR PLATFORM, STRETCHED TOWARDS THE NORTHEAST ROUGHLY 50 NMI AND MEASURED 0.98 NMI WIDE NEAR THE SOURCE.
MEASURED WINDS AT THE TIME OF OBSERVATION WERE 10 KTS AND FROM THE SOUTH. MODELED OCEAN CURRENTS IN THE AREA WERE MOSTLY 1.0 KT AND EXCEEDED 1.25 KTS IN SOME AREAS DOWNSTREAM.
CONFIDENCE WAS DETERMINED TO BE HIGH GIVEN THE ASSOCIATION WITH A REPEAT LEAK SOURCE AND VISIBLE CHROMATIC CHARACTERISTICS.  
","PLATFORM","HURRICANE","2/17/2019 16:33","DISCOVERED","PLATFORM INCIDENT","GULF OF MEXICO","","","","LA","MISSISSIPPI CANYON 20","",NA,"","",28,56,16,"N",88,58,16,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OUN","000000-00-0",NA,0,"UNKNOWN AMOUNT","UNKNOWN OIL","YES",0,"UNKNOWN AMOUNT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78912",1238287,"2/21/19 17:36","2/21/19 17:42","INC","TAYLOR ENERGY","PRIVATE ENTERPRISE","NEW ORLEANS","LA","","TELEPHONE","CALLER REPORTED A CRUDE OIL SHEEN IN THE GULF OF MEXICO FROM A PLATFORM THAT WAS DAMAGED DUE TO HURRICANE IVAN. SHEEN WAS BARELY DISCERNABLE, HOWEVER THERE WAS ALSO DARK AND DULL COLORS IN IT.","PLATFORM","HURRICANE","2/21/2019 12:30","DISCOVERED","SEE LAT/LONG:  PLATFORM INCIDENT","","","","VENICE","LA","MISSISSIPPI CANYON 20","",NA,"","",28,51,55,"N",89,7,56,"W","","","","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OIL","000000-00-0",NA,7.89,"GALLON(S)","OIL: CRUDE","YES",7.89,"GALLON(S)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
