SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1167571,ARX,007440-38-2,,0,UNKNOWN AMOUNT,ARSENIC,NO,,
1167574,OIL,000000-00-0,,2,BARREL(S),OIL: CRUDE,NO,,
1167576,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1167579,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167580,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167581,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167582,NCC,000000-00-0,,0,UNKNOWN AMOUNT,C5 MATERIAL (PENTANES),YES,0,UNKNOWN AMOUNT
1167584,OHY,000000-00-0,,1,PINT(S),HYDRAULIC OIL,YES,1,PINT(S)
1167586,OLB,000000-00-0,,1,GALLON(S),"OIL, MISC: LUBRICATING",NO,,
1167591,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167592,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167593,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167594,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167600,OIL,000000-00-0,,1,GALLON(S),OIL: CRUDE,YES,1,GALLON(S)
1167601,OIL,000000-00-0,,1,GALLON(S),OIL: CRUDE,YES,2,DROP(S)
1167602,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1167602,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1167604,OTH,000000-00-0,,2.5,CUBIC METER(S),"""MIXED OIL"" (WATER AND ASSORTED OILS)",YES,6,LITER(S)
1167605,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
1167606,OTH,000000-00-0,,1,OUNCE(S),MARINE GAS OIL,YES,1,OUNCE(S)
1167609,OOD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1-D",YES,0,UNKNOWN AMOUNT
1167610,ODS,000000-00-0,,500,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1167611,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1167613,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL (STRONG CHEMICAL ODOR),NO,,
1167614,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1167615,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1167616,ODS,000000-00-0,,45,GALLON(S),OIL: DIESEL,YES,45,GALLON(S)
1167617,OMT,000000-00-0,,1,GALLON(S),"OIL, MISC: MOTOR",YES,1,GALLON(S)
1167618,HDS,007783-06-4,,0,UNKNOWN AMOUNT,HYDROGEN SULFIDE,NO,,
1167618,ARL,000107-02-8,,0,UNKNOWN AMOUNT,ACROLEIN,NO,,
1167619,DRM,000000-00-0,,4,GALLON(S),SYNTHETIC OIL BASED DRILLING MUD,YES,4,GALLON(S)
