SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1069876,SFA,007664-93-9,,16700,POUND(S),SULFURIC ACID,NO,,
1069877,NCC,000000-00-0,,377,POUND(S),NON ANHYDROUS AMMONIA,NO,,
1069878,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1069880,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1069881,OTH,000000-00-0,,1,GALLON(S),CORROSION INHIBITOR (OIL PRODUCT),NO,,
1069883,OIL,000000-00-0,,14,OUNCE(S),OIL: CRUDE,YES,0,UNKNOWN AMOUNT
1069885,OOD,000000-00-0,,20,GALLON(S),"OIL, FUEL: NO. 1-D",YES,0,UNKNOWN AMOUNT
1069886,EGL,000107-21-1,,0.4,CUP(S),ETHYLENE GLYCOL,NO,,
1069888,OIL,000000-00-0,,5,GALLON(S),OIL: CRUDE,YES,5,GALLON(S)
1069890,ODS,000000-00-0,,1000,GALLON(S),OIL: DIESEL,NO,,
1069890,GAS,000000-00-0,,7500,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1069890,EGL,000107-21-1,,3,GALLON(S),ETHYLENE GLYCOL,NO,,
1069892,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,YES,1,GALLON(S)
1069893,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069894,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069896,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069897,OHY,000000-00-0,,25,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
1069899,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
1069900,OMN,000000-00-0,,2,GALLON(S),"OIL, MISC: MINERAL",YES,0.5,GALLON(S)
1069901,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069902,OIL,000000-00-0,,1,BARREL(S),OIL: CRUDE,NO,,
1069904,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
1069905,OHY,000000-00-0,,0.3,LITER(S),HYDRAULIC OIL,YES,0.3,LITER(S)
1069907,ODS,000000-00-0,,150,GALLON(S),OIL: DIESEL,NO,,
1069909,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1069912,OTH,000000-00-0,,2,BARREL(S),OTHER OIL (OIL BASED MUD),YES,31.5,GALLON(S)
1069913,ONG,000000-00-0,,14.89,MIL CBF,NATURAL GAS,NO,,
1069913,BNZ,000071-43-2,,26.03,POUND(S),BENZENE,NO,,
1069914,OTD,000000-00-0,,250,GALLON(S),"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
1069916,EDC,000000-00-0,,0,UNKNOWN AMOUNT,ETHYLENE DICHLORIDE,NO,,
1069917,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1069918,OHY,000000-00-0,,4,GALLON(S),HYDRAULIC OIL,YES,4,GALLON(S)
1069921,OIL,000000-00-0,,1,QUART(S),OIL: CRUDE,YES,1,QUART(S)
1069922,NCC,000000-00-0,,430,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
1069923,KRS,000000-00-0,,4,GALLON(S),KEROSENE,NO,,
1069924,GAS,000000-00-0,,1,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1069925,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069926,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1069927,ODS,000000-00-0,,30,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1069928,SHD,001310-73-2,,2500,POUND(S),SODIUM HYDROXIDE,NO,,
1069930,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069931,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1069932,MTH,000000-00-0,,0,UNKNOWN AMOUNT,METHANE,NO,,
1069933,OIL,000000-00-0,,0.09,GALLON(S),OIL: CRUDE,YES,0.09,GALLON(S)
1069934,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",UNKNOWN,0,UNKNOWN AMOUNT
1069936,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,YES,0,UNKNOWN AMOUNT
1069937,OTD,000000-00-0,,2,GALLON(S),"OIL, FUEL: NO. 2-D",YES,2,GALLON(S)
1069938,OIL,000000-00-0,,0.0853,GALLON(S),OIL: CRUDE,YES,0.0853,GALLON(S)
1069939,OIL,000000-00-0,,1,GALLON(S),OIL: CRUDE,YES,1,GALLON(S)
1069940,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OIL AND WATER,YES,0,UNKNOWN AMOUNT
1069941,OHY,000000-00-0,,0.5,CUP(S),HYDRAULIC OIL,YES,0.5,CUP(S)
1069942,BNZ,000071-43-2,,35,POUND(S),BENZENE,NO,,
1069943,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069944,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069945,BDI,000000-00-0,,25,POUND(S),BUTADIENE,NO,,
1069946,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1069947,NCC,000000-00-0,,0,UNKNOWN AMOUNT,AMMONIA,NO,,
1069949,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069950,OTH,000000-00-0,,1,DROP(S),OIL AND WATER MIXED,YES,1,DROP(S)
1069953,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1069954,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ASBESTOS,NO,,
1069956,HPT,000000-00-0,,360,GALLON(S),HEPTANE,YES,0,UNKNOWN AMOUNT
1069956,NCC,000000-00-0,,300,GALLON(S),WATER,YES,0,UNKNOWN AMOUNT
1069957,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1069958,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069960,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069962,OIL,000000-00-0,,15.4,GALLON(S),OIL: CRUDE,YES,15.4,GALLON(S)
1069963,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069964,OIL,000000-00-0,,50,BARREL(S),OIL: CRUDE,NO,,
1069965,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
1069966,VCM,000075-01-4,,0,UNKNOWN AMOUNT,VINYL CHLORIDE,NO,,
1069967,LNG,000000-00-0,,0,UNKNOWN AMOUNT,LIQUEFIED NATURAL GAS,NO,,
1069968,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
1069970,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069971,SFA,007664-93-9,,500,GALLON(S),SULFURIC ACID,NO,,
1069973,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1069974,ODS,000000-00-0,,10,GALLON(S),OIL: DIESEL,NO,,
1069975,RFG,000000-00-0,,0,UNKNOWN AMOUNT,REFRIGERANT GASES,NO,,
1069976,FMS,000000-00-0,,1.5,GALLON(S),FORMALDEHYDE SOLUTION,NO,,
1069977,ONG,000000-00-0,,3.749,MIL CBF,NATURAL GAS,NO,,
1069978,OTH,000000-00-0,,5,GALLON(S),OIL AND WATER MIXED,NO,,
1069979,NCC,000000-00-0,,200,BARREL(S),(MTBE) HAZARDOUS LIQUID,NO,,
1069980,ODS,000000-00-0,,2,QUART(S),OIL: DIESEL,YES,1,PINT(S)
1069981,BDI,000000-00-0,,10,POUND(S),BUTADIENE,NO,,
1069985,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
1069986,OTF,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: TRANSFORMER",NO,,
1069987,SBS,007631-90-5,,200,GALLON(S),SODIUM BISULFITE,NO,,
1069989,ODS,000000-00-0,,30,GALLON(S),OIL: DIESEL,NO,,
1069991,ONG,000000-00-0,,24000,MIL CBF,NATURAL GAS,NO,,
1069993,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ALCOHOL,NO,,
1069994,MMC,000000-00-0,,100,POUND(S),METHYL MERCAPTAN,NO,,
1069995,NCC,000000-00-0,,445,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
1069996,NCD,000000-00-0,,0,UNKNOWN AMOUNT,NITRIC ACID (70% OR LESS),NO,,
1069997,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1069998,NCC,000000-00-0,,6300,POUND(S),FLAMMABLE VAPORS,NO,,
1069999,NCC,000000-00-0,,25,LITER(S),PAINT,YES,15,LITER(S)
1070000,BZA,000065-85-0,,25,POUND(S),BENZOIC ACID,NO,,
1070001,OTH,000000-00-0,,25,LITER(S),OTHER OIL (OIL BASED PAINT),YES,25,LITER(S)
1070002,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1070003,NCC,000000-00-0,,20,BARREL(S),SALT WATER,YES,20,BARREL(S)
1070003,OIL,000000-00-0,,3,BARREL(S),OIL: CRUDE,NO,,
1070005,NCC,000000-00-0,,0,UNKNOWN AMOUNT,PARTICULATE MATTER,NO,,
1070005,TOL,000108-88-3,,0,UNKNOWN AMOUNT,TOLUENE,NO,,
1070005,NTX,010102-43-9,,0,UNKNOWN AMOUNT,NITROGEN OXIDE,NO,,
1070005,CDO,000000-00-0,,0,UNKNOWN AMOUNT,CARBON DIOXIDE,NO,,
1070005,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
1070005,XLX,000000-00-0,,0,UNKNOWN AMOUNT,"XYLENE (O-, M-, P-, & MIXTURES)",NO,,
1070005,ETB,000100-41-4,,0,UNKNOWN AMOUNT,ETHYLBENZENE,NO,,
1070005,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
