SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
783973,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL -LIQUID DRILLING MUD,YES,30,GALLON(S)
783975,SFD,000000-00-0,,4159,POUND(S),SULFUR DIOXIDE,NO,,
783976,OTF,000000-00-0,,13,GALLON(S),"OIL, MISC: TRANSFORMER",UNKNOWN,0,UNKNOWN AMOUNT
783977,NCC,000000-00-0,,11.5,POUND(S),NOX,NO,,
783978,GAS,000000-00-0,,100,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,10,GALLON(S)
783979,NTX,010102-43-9,,16.1,POUND(S),NITRIC OXIDE,NO,,
783980,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ETHANOL,NO,,
783981,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
783982,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
783983,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
783984,CMO,000000-00-0,,0,UNKNOWN AMOUNT,CARBON MONOXIDE,NO,,
783984,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN OXIDE,NO,,
783984,NCC,000000-00-0,,0,UNKNOWN AMOUNT,VOLITILE ORGANIC COMPOUND,NO,,
783984,SFD,000000-00-0,,0,UNKNOWN AMOUNT,SULFUR DIOXIDE,NO,,
783985,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL (EMULSIFIED),YES,0,UNKNOWN AMOUNT
783986,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
783987,OWA,000000-00-0,,55,GALLON(S),WASTE OIL,NO,,
783988,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
783990,ONG,000000-00-0,,251.9,POUND(S),NATURAL GAS,NO,,
783991,GAS,000000-00-0,,9000,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,9000,GALLON(S)
783992,OUN,000000-00-0,,0.5,GALLON(S),UNKNOWN OIL,YES,0.5,GALLON(S)
783993,NCC,000000-00-0,,21,POUND(S),NO2,NO,,
783995,ETL,000000-00-0,,1194,POUND(S),ETHYLENE,NO,,
783995,PPL,000000-00-0,,299,POUND(S),PROPYLENE,NO,,
783995,BDI,000000-00-0,,182,POUND(S),"1,3 BUTADIENE",NO,,
783995,BNZ,000071-43-2,,97,POUND(S),BENZENE,NO,,
783996,OTD,000000-00-0,,1000,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
