SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
709471,GAS,000000-00-0,,50,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
709472,EDC,000000-00-0,,200,POUND(S),ETHYLENE DICHLORIDE,NO,,
709472,CRF,000000-00-0,,25,POUND(S),CHLOROFORM,NO,,
709473,OTF,000000-00-0,,60,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0,UNKNOWN AMOUNT
709474,VCM,000075-01-4,,0,UNKNOWN AMOUNT,VINYL CHLORIDE,NO,,
709474,EDC,000000-00-0,,0,UNKNOWN AMOUNT,ETHYLENE DICHLORIDE,NO,,
709475,NTX,010102-43-9,,0,UNKNOWN AMOUNT,NITRIC OXIDE,NO,,
709475,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN DIOXIDE,NO,,
709476,NCC,000000-00-0,,0.5,QUART(S),BUNKER FUEL/ IFO,YES,0.5,QUART(S)
709477,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709479,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709480,NCC,000000-00-0,,191,POUND(S),NITROGEN OXIDE,NO,,
709480,NCC,000000-00-0,,21,POUND(S),NITROGEN DIOXIDE,NO,,
709481,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709482,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709483,NCC,000000-00-0,,0,UNKNOWN AMOUNT,AMMONIA,NO,,
709484,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LIQUIFIED ARGONNE GAS,NO,,
709485,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NON-PCB DIELECTRIC FLUID,YES,0,UNKNOWN AMOUNT
709486,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
709487,NCC,000000-00-0,,80,GALLON(S),UNKNOWN AVIATION FUEL,YES,0,UNKNOWN AMOUNT
709489,NOX,010544-72-6,,10,POUND(S),NITROGEN TETROXIDE,NO,,
709490,OMN,000000-00-0,,5,GALLON(S),"OIL, MISC: MINERAL",NO,,
709491,OIL,000000-00-0,,0.8,GALLON(S),OIL: CRUDE,YES,0.8,GALLON(S)
709492,OIL,000000-00-0,,0.6,GALLON(S),OIL: CRUDE,YES,0.6,GALLON(S)
709494,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN SUBSTANCE,YES,0,UNKNOWN AMOUNT
709495,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709496,GAS,000000-00-0,,20000,BARREL(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
709496,ODS,000000-00-0,,20000,BARREL(S),OIL: DIESEL,NO,,
709497,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN SUBSTANCE,UNKNOWN,0,UNKNOWN AMOUNT
709499,GAS,000000-00-0,,171,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
709500,OIL,000000-00-0,,14.13,OUNCE(S),OIL: CRUDE,YES,14.13,OUNCE(S)
709501,OTH,000000-00-0,,25,GALLON(S),OTHER OIL,YES,25,GALLON(S)
709502,OIL,000000-00-0,,30,BARREL(S),OIL: CRUDE,NO,,
709504,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709505,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709506,OMN,000000-00-0,,2,GALLON(S),"OIL, MISC: MINERAL",YES,2,GALLON(S)
709507,OTH,000000-00-0,,0,GALLON(S),PRODUCED,YES,0,GALLON(S)
709508,ODS,000000-00-0,,0,GALLON(S),OIL: DIESEL,YES,10,GALLON(S)
709509,OIL,000000-00-0,,8,GALLON(S),OIL: CRUDE,YES,8,GALLON(S)
709511,NTX,010102-43-9,,28,POUND(S),NITRIC OXIDE,NO,,
709512,NTX,010102-43-9,,37,POUND(S),NITRIC OXIDE,NO,,
709513,NTX,010102-43-9,,14,POUND(S),NITRIC OXIDE,NO,,
709516,NCC,000000-00-0,,30.66,POUND(S),NITROGEN OXIDE,NO,,
709517,GAS,000000-00-0,,5,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
709518,OSX,000000-00-0,,1,GALLON(S),"OIL, FUEL: NO. 6",YES,1,GALLON(S)
709519,GAS,000000-00-0,,25,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,25,GALLON(S)
709521,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709522,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709523,OIL,000000-00-0,,3,GALLON(S),OIL: CRUDE,YES,3,GALLON(S)
709524,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709525,NCC,000000-00-0,,2896,GALLON(S),DIMETHYLAMINE (60% SOULTION),NO,,
709526,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
709527,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709528,NCC,000000-00-0,,191,POUND(S),NITROGEN OXIDE,NO,,
709528,NCC,000000-00-0,,21,POUND(S),NITROGEN DIOXIDE,NO,,
709529,OIL,000000-00-0,,5,BARREL(S),OIL: CRUDE,NO,,
709530,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709531,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
709532,OTH,000000-00-0,,0,UNKNOWN AMOUNT,DIESEL & LUBE OIL,YES,0,UNKNOWN AMOUNT
709533,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709534,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
709535,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COAL,NO,,
709536,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
709537,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709538,OTH,000000-00-0,,15,GALLON(S),TRANSMISSION FLUID,NO,8,GALLON(S)
709539,CLX,007782-50-5,,80,POUND(S),CHLORINE,NO,,
709541,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ALCOHOL NOS,NO,,
709542,NCC,000000-00-0,,240,POUND(S),AMMONIA,NO,,
709544,OTF,000000-00-0,,13,GALLON(S),"OIL, MISC: TRANSFORMER",YES,5,GALLON(S)
709544,PCB,000000-00-0,,11,PART(S) PER MILLION,POLYCHLORINATED BIPHENYLS,YES,0,UNKNOWN AMOUNT
709545,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
709546,ODS,000000-00-0,,5,BARREL(S),OIL: DIESEL,YES,5,BARREL(S)
709547,OIL,000000-00-0,,1.5,BARREL(S),OIL: CRUDE,NO,,
