SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
893770,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,NO,,
893771,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
893772,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COAL ASH,NO,,
893773,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL (PROCESS WATER CONTAINING CRUDE OIL),YES,0,UNKNOWN AMOUNT
893774,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893776,OTF,000000-00-0,,40,GALLON(S),"OIL, MISC: TRANSFORMER",NO,,
893776,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,NO,,
893778,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COAL,NO,,
893779,OTH,000000-00-0,,0,UNKNOWN AMOUNT,TRANSMIX (MIXTURE OF GASOLINE AND DIESEL),NO,,
893780,NCC,000000-00-0,,1106.28,POUND(S),NITROGEN OXIDES,NO,,
893781,OIL,000000-00-0,,5.0625,GALLON(S),OIL: CRUDE,YES,5.0625,GALLON(S)
893782,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893783,OTH,000000-00-0,,50,GALLON(S),OTHER OIL (SYNTHETIC LIQUID MUD),YES,50,GALLON(S)
893784,ODS,000000-00-0,,1000,GALLON(S),OIL: DIESEL,NO,,
893785,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893786,OWA,000000-00-0,,1,CUP(S),WASTE OIL,YES,1,CUP(S)
893787,OHY,000000-00-0,,0.1,GALLON(S),HYDRAULIC OIL,YES,0.1,GALLON(S)
893788,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
893789,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893790,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
893791,GAS,000000-00-0,,3.5,BARREL(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
893792,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
893793,GAS,000000-00-0,,5,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
893794,OIL,000000-00-0,,34.09,GALLON(S),OIL: CRUDE,YES,34.09,GALLON(S)
893795,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893796,OTH,000000-00-0,,2,TEASPOON(S),BUNKER OIL,YES,2,TEASPOON(S)
893797,ODS,000000-00-0,,1,CUP(S),OIL: DIESEL,NO,,
893798,GAS,000000-00-0,,1,QUART(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1,QUART(S)
893799,GAS,000000-00-0,,1.5,OUNCE(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1.5,OUNCE(S)
893800,GAS,000000-00-0,,30,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
893802,NCC,000000-00-0,,10,GALLON(S),SEA WATER AND WATER BASED DRILLING MUD,YES,10,GALLON(S)
893803,GAS,000000-00-0,,350,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
893803,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
893804,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
893806,BDI,000000-00-0,,10,POUND(S),BUTADIENE,NO,,
