SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
1034562,NCC,000000-00-0,,16000,GALLON(S),ALCOHOL,NO,,
1034565,STY,000100-42-5,,25,DROP(S),STYRENE,NO,,
1034569,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
1034570,ARL,000107-02-8,,1,POUND(S),ACROLEIN,NO,,
1034570,ACN,000107-13-1,,100,POUND(S),ACRYLONITRILE,NO,,
1034570,HCN,000074-90-8,,10,POUND(S),HYDROGEN CYANIDE,NO,,
1034571,OIL,000000-00-0,,160,BARREL(S),OIL: CRUDE,NO,,
1034571,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,NO,,
1034573,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1034574,OIL,000000-00-0,,0.048,GALLON(S),OIL: CRUDE,YES,0.048,GALLON(S)
1034575,HCL,007647-01-0,,1000,POUND(S),HYDROCHLORIC ACID,NO,,
1034575,NCC,000000-00-0,,5000,POUND(S),METHANOL,NO,,
1034575,MTC,000000-00-0,,100,POUND(S),METHYL CHLORIDE,NO,,
1034576,OHY,000000-00-0,,3,GALLON(S),HYDRAULIC OIL,YES,3,GALLON(S)
1034577,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,YES,0,UNKNOWN AMOUNT
1034578,HDS,007783-06-4,,101,POUND(S),HYDROGEN SULFIDE,NO,,
1034579,OIL,000000-00-0,,16.5,GALLON(S),OIL: CRUDE,YES,16.5,GALLON(S)
1034580,AMA,007664-41-7,,100,POUND(S),"AMMONIA, ANHYDROUS",NO,,
1034582,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
1034584,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034585,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
1034586,OIL,000000-00-0,,2,GALLON(S),OIL: CRUDE,YES,2,GALLON(S)
1034587,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034588,OTF,000000-00-0,,15,GALLON(S),"OIL, MISC: TRANSFORMER",YES,12,GALLON(S)
1034588,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,YES,0,UNKNOWN AMOUNT
1034589,OIL,000000-00-0,,50,GALLON(S),OIL: CRUDE,YES,50,GALLON(S)
1034590,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034591,ODS,000000-00-0,,15,GALLON(S),OIL: DIESEL,NO,,
1034592,NCC,000000-00-0,,1500000,GALLON(S),CHLORINATED TAP WATER,YES,1500000,GALLON(S)
1034593,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,UNKNOWN,0,UNKNOWN AMOUNT
1034595,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,YES,0,UNKNOWN AMOUNT
1034597,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034598,GAS,000000-00-0,,100,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1034599,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034601,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
1034604,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SELENIUM,YES,0,UNKNOWN AMOUNT
1034605,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
1034606,OIL,000000-00-0,,30,BARREL(S),OIL: CRUDE,YES,25,BARREL(S)
1034607,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN OXIDE,NO,,
1034608,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
1034609,ODS,000000-00-0,,200,GALLON(S),OIL: DIESEL,NO,,
1034610,VCM,000075-01-4,,1,POUND(S),VINYL CHLORIDE,NO,,
1034611,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1034611,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
1034611,JPO,000000-00-0,,0,UNKNOWN AMOUNT,JET FUEL: JP-1 (KEROSENE),NO,,
1034612,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1034613,GAS,000000-00-0,,30,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
1034614,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1034616,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,NO,,
1034618,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
1034619,NCC,000000-00-0,,0,UNKNOWN AMOUNT,BATTERY ACID,NO,,
1034620,ODS,000000-00-0,,130,GALLON(S),OIL: DIESEL,NO,,
1034621,ODS,000000-00-0,,50,GALLON(S),DIESEL FUEL,NO,,
1034622,ODS,000000-00-0,,90,GALLON(S),OIL: DIESEL,NO,,
