SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
858539,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858542,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
858544,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
858544,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
858545,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858547,OHY,000000-00-0,,1,QUART(S),HYDRAULIC OIL,YES,1,QUART(S)
858548,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
858549,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858550,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858551,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
858552,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
858553,NCC,000000-00-0,,1,GALLON(S),RAW SEWAGE,YES,1,GALLON(S)
858554,OTH,000000-00-0,,1,GALLON(S),OIL BASED LIQUID MUD,YES,1,GALLON(S)
858555,NCC,000000-00-0,,0,UNKNOWN AMOUNT,OIL AND GASOLINE,NO,,
858556,OTH,000000-00-0,,1,TEASPOON(S),OTHER OIL (BUNKER OIL),YES,1,TEASPOON(S)
858557,ACL,000000-00-0,,500,GALLON(S),ALUMINUM CHLORIDE,NO,,
858560,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,UNKNOWN,0,UNKNOWN AMOUNT
858561,OTH,000000-00-0,,150,GALLON(S),100 VISCOSITY WHITE OIL,YES,20,GALLON(S)
858562,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858563,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",NO,,
858564,GAS,000000-00-0,,1,QUART(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,1,QUART(S)
858567,SXX,000000-00-0,,25,TON(S),SULFUR,NO,,
858569,OTF,000000-00-0,,50,GALLON(S),"OIL, MISC: TRANSFORMER",YES,10,GALLON(S)
858572,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
858576,OLB,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: LUBRICATING",NO,,
858576,NCC,000000-00-0,,0,UNKNOWN AMOUNT,GRAIN,NO,,
858577,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
858578,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CAR WASHING SOLVANTS,YES,0,UNKNOWN AMOUNT
858578,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CAR WASH USED WATER,YES,0,UNKNOWN AMOUNT
858579,OTH,000000-00-0,,17300,GALLON(S),OTHER OIL (VEGETABLE OIL),NO,,
858580,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,UNKNOWN,0,UNKNOWN AMOUNT
858581,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858582,NCC,000000-00-0,,10,POUND(S),AMMONIA NITRATE (UN # # 0065),NO,,
858583,AMA,007664-41-7,,379,POUND(S),"AMMONIA, ANHYDROUS",NO,,
858584,OIL,000000-00-0,,2,BARREL(S),OIL: CRUDE,NO,,
858585,NCC,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN HAZMAT (SOME TYPE OF ACID),UNKNOWN,0,UNKNOWN AMOUNT
858586,ODS,000000-00-0,,15,GALLON(S),OIL: DIESEL,YES,15,GALLON(S)
858587,OUN,000000-00-0,,30,GALLON(S),UNKNOWN OIL,NO,,
858590,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858591,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858593,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858594,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITROGEN SOLUTION FERTILIZER,NO,,
858595,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
858596,OTH,000000-00-0,,0,UNKNOWN AMOUNT,RED DYE DIESEL,YES,0,UNKNOWN AMOUNT
