SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
822489,NCC,000000-00-0,,3740,GALLON(S),RAW SEWAGE,NO,,
822490,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
822491,HDS,007783-06-4,,104,POUND(S),HYDROGEN SULFIDE,NO,,
822494,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
822496,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LIQUID PROPANE GAS,NO,,
822496,NCC,000000-00-0,,0,UNKNOWN AMOUNT,FATTY ACIDS,UNKNOWN,0,UNKNOWN AMOUNT
822497,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL(JET FUEL),NO,,
822498,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
822499,OOD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 1-D",YES,0,UNKNOWN AMOUNT
822500,OUN,000000-00-0,,55,GALLON(S),UNKNOWN OIL (DIESEL OR HYDRAULIC OIL),YES,55,GALLON(S)
822501,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
822502,OUN,000000-00-0,,1.5,CUP(S),UNKNOWN OIL,YES,1,CUP(S)
822503,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
822504,BSS,000000-00-0,,0,UNKNOWN AMOUNT,BILGE SLOPS,YES,0,UNKNOWN AMOUNT
822506,OLB,000000-00-0,,3,GALLON(S),"OIL, MISC: LUBRICATING",YES,3,GALLON(S)
822507,OTD,000000-00-0,,250,GALLON(S),"OIL, FUEL: NO. 2-D",YES,250,GALLON(S)
822508,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
822509,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
822511,NCC,000000-00-0,,0,UNKNOWN AMOUNT,DEP DUST,NO,,
822512,OIL,000000-00-0,,25,BARREL(S),OIL: CRUDE,NO,,
822513,ODS,000000-00-0,,130,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
822514,OIL,000000-00-0,,0,GALLON(S),OIL: CRUDE,YES,0,GALLON(S)
822515,NCC,000000-00-0,,70,LITER(S),CLORHIDRIC ACID,NO,,
822516,OTF,000000-00-0,,40,GALLON(S),"OIL, MISC: TRANSFORMER",NO,,
822518,NCC,000000-00-0,,1,TEASPOON(S),BUNKER OIL,YES,1,TEASPOON(S)
822519,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
822520,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
