SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
993425,GAS,000000-00-0,,35,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,35,GALLON(S)
993426,ODS,000000-00-0,,3,GALLON(S),OIL: DIESEL,YES,3,GALLON(S)
993428,OHY,000000-00-0,,0.0001,OUNCE(S),HYDRAULIC OIL,YES,0.0001,OUNCE(S)
993431,OTW,000000-00-0,,100,GALLON(S),"OIL, FUEL: NO. 2",YES,100,GALLON(S)
993431,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993432,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
993433,OIL,000000-00-0,,7700,GALLON(S),OIL: CRUDE,YES,0,UNKNOWN AMOUNT
993434,NCC,000000-00-0,,10,OUNCE(S),SCOURING POWDER,YES,10,OUNCE(S)
993435,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993436,GAS,000000-00-0,,1,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
993438,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993439,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993440,OIL,000000-00-0,,6000,GALLON(S),OIL: CRUDE,UNKNOWN,0,UNKNOWN AMOUNT
993441,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SAND BLASTING MATERIAL,YES,0,UNKNOWN AMOUNT
993442,ODS,000000-00-0,,100,GALLON(S),OIL: DIESEL,NO,,
993444,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,NO,,
993445,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993446,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
993448,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
993449,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
