SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
927592,OTH,000000-00-0,,2,TEASPOON(S),BUNKER OIL,YES,2,TEASPOON(S)
927594,NCC,000000-00-0,,1000,POUND(S),NITRIC OXIDES,NO,,
927595,NCC,000000-00-0,,1000,POUND(S),NOX,NO,,
927596,OTF,000000-00-0,,2,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0,UNKNOWN AMOUNT
927597,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,YES,0,UNKNOWN AMOUNT
927598,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927599,OIL,000000-00-0,,40,GALLON(S),OIL: CRUDE,YES,40,GALLON(S)
927600,AMA,007664-41-7,,175,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927601,NCC,000000-00-0,,0,UNKNOWN AMOUNT,AMMONIA,NO,,
927604,OSX,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 6",YES,0,UNKNOWN AMOUNT
927605,GAS,000000-00-0,,6000,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
927606,OTF,000000-00-0,,40,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0,UNKNOWN AMOUNT
927606,PCB,000000-00-0,,0,UNKNOWN AMOUNT,POLYCHLORINATED BIPHENYLS,YES,0,UNKNOWN AMOUNT
927607,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
927609,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927610,OTH,000000-00-0,,0.344,GALLON(S),CONDENSATE,YES,0.344,GALLON(S)
927612,NCC,000000-00-0,,0,UNKNOWN AMOUNT,LEAD PAINT,YES,0,UNKNOWN AMOUNT
927612,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ACID WASH,YES,0,UNKNOWN AMOUNT
927613,AMH,000000-00-0,,604,POUND(S),"AMMONIUM HYDROXIDE, 28% AQ.",NO,,
927614,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL (MATERIAL IN VESSEL),YES,0,UNKNOWN AMOUNT
927615,OIL,000000-00-0,,1,GALLON(S),OIL: CRUDE,YES,1,GALLON(S)
927616,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927618,OIL,000000-00-0,,1.06,GALLON(S),OIL: CRUDE,YES,1.06,GALLON(S)
927621,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927622,XLX,000000-00-0,,1066,POUND(S),"XYLENE (O-, M-, P-, & MIXTURES)",NO,,
927623,OMT,000000-00-0,,8,LITER(S),"OIL, MISC: MOTOR",NO,,
927624,NCC,000000-00-0,,71.33,BARREL(S),PROCESS PRODUCED WATER,YES,1,BARREL(S)
927626,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927627,OTH,000000-00-0,,2,TEASPOON(S),BUNKER OIL,YES,2,TEASPOON(S)
927629,OTH,000000-00-0,,0.0017,GALLON(S),MOBILE THERM (HEATING OIL),YES,0.0017,GALLON(S)
927630,OIL,000000-00-0,,19,BARREL(S),OIL: CRUDE,YES,19,BARREL(S)
927631,ODS,000000-00-0,,2,TABLESPOON(S),OIL: DIESEL,YES,2,TABLESPOON(S)
927633,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927635,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927636,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927637,NCC,000000-00-0,,10,TON(S),COAL,NO,,
927639,OTW,000000-00-0,,1,GALLON(S),"OIL, FUEL: NO. 2",UNKNOWN,0,UNKNOWN AMOUNT
927640,TOL,000108-88-3,,1800,POUND(S),TOLUENE,NO,,
927642,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927643,ODS,000000-00-0,,40,GALLON(S),OIL: DIESEL,NO,,
927644,GAS,000000-00-0,,25,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
927645,OIL,000000-00-0,,2,GALLON(S),OIL: CRUDE,YES,8,GALLON(S)
927646,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927649,OWA,000000-00-0,,15,GALLON(S),WASTE OIL,YES,10,GALLON(S)
927650,MCR,007439-97-6,,1,TABLESPOON(S),MERCURY,NO,,
927651,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,YES,0,UNKNOWN AMOUNT
927652,OHY,000000-00-0,,15,GALLON(S),HYDRAULIC OIL,YES,0,UNKNOWN AMOUNT
927654,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),UNKNOWN,0,UNKNOWN AMOUNT
927655,HDS,007783-06-4,,100,POUND(S),HYDROGEN SULFIDE,NO,,
927656,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
927657,NCC,000000-00-0,,2,POUND(S),AMMONIA,NO,,
927658,NCC,000000-00-0,,569,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
927659,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927660,OTF,000000-00-0,,10,GALLON(S),"OIL, MISC: TRANSFORMER",YES,0,UNKNOWN AMOUNT
927661,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CHLORINE GAS,NO,,
927664,OTH,000000-00-0,,150,GALLON(S),CRUSHER OIL,NO,,
927665,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927666,NCC,000000-00-0,,0,UNKNOWN AMOUNT,ROTTEN EGG SMELL,NO,,
927667,OTH,000000-00-0,,0.5,CUP(S),OTHER OIL (HEATING OIL FOR ASPHALT),NO,,
927668,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
927670,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
927671,ODS,000000-00-0,,2,BARREL(S),OIL: DIESEL,YES,1,BARREL(S)
927672,MTC,000000-00-0,,0,UNKNOWN AMOUNT,METHYL CHLORIDE,NO,,
927672,NCC,000000-00-0,,0,UNKNOWN AMOUNT,METHYLENE CHLORIDE,NO,,
927673,NCC,000000-00-0,,150,GALLON(S),SEWAGE (WASTE WATER),YES,150,GALLON(S)
927675,CMO,000000-00-0,,1000,POUND(S),CARBON MONOXIDE,NO,,
927676,NCC,000000-00-0,,10,BARREL(S),CONDENSATE,YES,0,UNKNOWN AMOUNT
927676,NCC,000000-00-0,,0,UNKNOWN AMOUNT,SALT WATER,UNKNOWN,0,UNKNOWN AMOUNT
927677,ETL,000000-00-0,,0,UNKNOWN AMOUNT,ETHYLENE,NO,,
927677,MTH,000000-00-0,,0,UNKNOWN AMOUNT,METHANE,NO,,
927677,NCC,000000-00-0,,0,UNKNOWN AMOUNT,VOLATILE ORGANIC COMPOUNDS,NO,,
927677,BNZ,000071-43-2,,0,UNKNOWN AMOUNT,BENZENE,NO,,
927677,PPL,000000-00-0,,0,UNKNOWN AMOUNT,PROPYLENE,NO,,
927678,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
927680,NCC,000000-00-0,,150,GALLON(S),SEWAGE,YES,150,GALLON(S)
927682,OTH,000000-00-0,,0,UNKNOWN AMOUNT,AVIATION GAS,YES,0,UNKNOWN AMOUNT
927683,OTH,000000-00-0,,2,GALLON(S),OILY WASTE,YES,2,GALLON(S)
927684,OTH,000000-00-0,,45,GALLON(S),OLIVE OIL,YES,10,GALLON(S)
927685,OIL,000000-00-0,,0.00116,GALLON(S),OIL: CRUDE,YES,0.00116,GALLON(S)
927686,SHP,000000-00-0,,1000,GALLON(S),SODIUM HYPOCHLORITE (15% OR LESS,NO,,
927688,FMS,000000-00-0,,0,UNKNOWN AMOUNT,FORMALDEHYDE SOLUTION,NO,,
927689,MAR,000000-00-0,,1,EACH,701 CARMANAH #08-042673,YES,1,EACH
927691,OHY,000000-00-0,,3,DROP(S),HYDRAULIC OIL,YES,3,DROP(S)
927693,OTH,000000-00-0,,300,GALLON(S),"JET ""A"" FUEL",NO,,
927694,OIL,000000-00-0,,1.6,GALLON(S),OIL: CRUDE,YES,1.6,GALLON(S)
927696,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927697,CHX,000110-82-7,,27200,POUND(S),CYCLOHEXANE,NO,,
927698,BNZ,000071-43-2,,10,POUND(S),BENZENE,NO,,
927699,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927700,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927703,NCC,000000-00-0,,515,POUND(S),F003- LISTED WASTE SOLVENT BLEND,NO,,
927704,NCC,000000-00-0,,20,BARREL(S),OILY WATER,UNKNOWN,0,UNKNOWN AMOUNT
927705,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927708,AMA,007664-41-7,,100,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927710,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
927711,MAR,000000-00-0,,1,EACH,DELPHI BATTERY SERIAL # 17-010255,YES,1,EACH
927711,MAR,000000-00-0,,1,EACH,DELPHI BATTERY SERIAL # 17-010285,YES,1,EACH
927711,MAR,000000-00-0,,1,EACH,DELPHI BATTERY SERIAL # 17-010286,YES,1,EACH
927712,MAR,000000-00-0,,1,EACH,DELCO S2000 BATTERY SERIAL # 17-008399,YES,1,EACH
927712,MAR,000000-00-0,,1,EACH,DELCO S2000 BATTERY SERIAL # 17-008400,YES,1,EACH
927713,NCC,000000-00-0,,4600,BARREL(S),NAPHTHA,NO,,
927714,NCC,000000-00-0,,20,GALLON(S),DMAC PURGE (WASTE MATERIAL),NO,,
927715,OTH,000000-00-0,,1,TEASPOON(S),BUNKER OIL,YES,1,TEASPOON(S)
927716,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,YES,0,UNKNOWN AMOUNT
927716,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
927716,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
927717,NCC,000000-00-0,,15,GALLON(S),COAL TAR,NO,,
927717,NCC,000000-00-0,,1,POUND(S),BENZO (A) PYRENE,NO,,
927718,NCC,000000-00-0,,1,POUND(S),BENZO (A) PYRENE,NO,,
927718,NCC,000000-00-0,,75,GALLON(S),COAL TAR,NO,,
927720,OTW,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2",NO,,
927721,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
927722,HCL,007647-01-0,,0,UNKNOWN AMOUNT,HYDROCHLORIC ACID,YES,0,UNKNOWN AMOUNT
927723,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927726,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927728,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
927729,OIL,000000-00-0,,0.5,GALLON(S),OIL: CRUDE,YES,0.5,GALLON(S)
927730,OIL,000000-00-0,,0.5,OUNCE(S),OIL: CRUDE,YES,0.5,OUNCE(S)
927733,AMA,007664-41-7,,237,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927734,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL (AUTOMOTIVE FLUIDS),YES,0,UNKNOWN AMOUNT
927734,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
927734,OTH,000000-00-0,,0,UNKNOWN AMOUNT,OTHER OIL (TRANSMISSION FLUID),YES,0,UNKNOWN AMOUNT
927734,NCC,000000-00-0,,0,UNKNOWN AMOUNT,CLEANING SOLVENTS,YES,0,UNKNOWN AMOUNT
927735,NCC,000000-00-0,,210000,GALLON(S),WASTE WATER SLUDGE,YES,0,UNKNOWN AMOUNT
927736,OHY,000000-00-0,,0,UNKNOWN AMOUNT,HYDRAULIC OIL,NO,,
927737,AMA,007664-41-7,,500,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927738,NCC,000000-00-0,,651,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
927740,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",YES,0,UNKNOWN AMOUNT
927740,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,YES,0,UNKNOWN AMOUNT
927740,OTH,000000-00-0,,0,UNKNOWN AMOUNT,TRANSMISSION FLUID,YES,0,UNKNOWN AMOUNT
927741,NCC,000000-00-0,,50,BARREL(S),PRODUCED WATER,NO,,
927742,OIL,000000-00-0,,0.0215,GALLON(S),OIL: CRUDE,YES,0.0215,GALLON(S)
927743,ODS,000000-00-0,,0,GALLON(S),DIESEL FUEL,YES,0,GALLON(S)
927744,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927746,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927747,OTH,000000-00-0,,80,POUND(S),REFINERY SLUDGE (OILY),NO,,
927748,NCC,000000-00-0,,0,UNKNOWN AMOUNT,COAL,NO,,
927749,NCC,000000-00-0,,200,GALLON(S),LIQUID FERTILIZER (UAN 32 %),NO,,
927751,SFD,000000-00-0,,500,POUND(S),SULFUR DIOXIDE,NO,,
927751,HDS,007783-06-4,,100,POUND(S),HYDROGEN SULFIDE,NO,,
927752,OIL,000000-00-0,,0.037,GALLON(S),OIL: CRUDE,YES,0.037,GALLON(S)
927753,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
927754,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
927755,OON,000000-00-0,,15,LITER(S),"OIL, FUEL: NO. 1 (KEROSENE)",NO,,
927756,AMA,007664-41-7,,100,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927757,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
927757,BSS,000000-00-0,,0,UNKNOWN AMOUNT,BILGE SLOPS,YES,0,UNKNOWN AMOUNT
927758,ODS,000000-00-0,,0.5,GALLON(S),OIL: DIESEL,YES,0.5,GALLON(S)
927760,NCC,000000-00-0,,0.5,GALLON(S),BATTERY ACID,YES,0.5,GALLON(S)
927761,ODS,000000-00-0,,1,PINT(S),OIL: DIESEL,YES,1,PINT(S)
927762,FMS,000000-00-0,,0,UNKNOWN AMOUNT,FORMALDEHYDE SOLUTION,YES,0,UNKNOWN AMOUNT
927763,ANP,000000-00-0,,500,POUND(S),AMMONIUM NITRATE - PHOSPHATE MIX,NO,,
927764,OIL,000000-00-0,,2.834,GALLON(S),OIL: CRUDE,YES,2.834,GALLON(S)
927765,ODS,000000-00-0,,1,GALLON(S),OIL: DIESEL,YES,1,GALLON(S)
927766,PTH,001310-58-3,,4,GALLON(S),POTASSIUM HYDROXIDE,NO,,
927767,SDC,000000-00-0,,500,CUBIC YARD(S),SODIUM CHLORATE,NO,,
927769,OTH,000000-00-0,,0.5,TEASPOON(S),BUNKER OIL,YES,0.5,TEASPOON(S)
927772,OTH,000000-00-0,,13,GALLON(S),GEAR OIL,YES,13,GALLON(S)
927773,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927774,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,YES,0,UNKNOWN AMOUNT
927775,OHY,000000-00-0,,1,GALLON(S),HYDRAULIC OIL,YES,1,GALLON(S)
927776,EGL,000107-21-1,,0,UNKNOWN AMOUNT,ETHYLENE GLYCOL,NO,,
927776,OMT,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, MISC: MOTOR",NO,,
927776,OTH,000000-00-0,,0,UNKNOWN AMOUNT,TRANSMISSION FLUID,NO,,
927776,OTH,000000-00-0,,0,UNKNOWN AMOUNT,GEAR OIL,NO,,
927777,EOX,000075-21-8,,27,POUND(S),ETHYLENE OXIDE,NO,,
927777,NCC,000000-00-0,,2,POUND(S),NITROGEN OXIDE,NO,,
927777,NCC,000000-00-0,,0.1,POUND(S),NITROGEN DIOXDIE,NO,,
927777,CMO,000000-00-0,,4.3,POUND(S),CARBON MONOXIDE,NO,,
927778,NCC,000000-00-0,,2,CUBIC YARD(S),INDUSTRIAL SAND,NO,,
927780,SFA,007664-93-9,,200,GALLON(S),SULFURIC ACID,NO,,
927782,OTW,000000-00-0,,0,GALLON(S),"OIL, FUEL: NO. 2",YES,0,GALLON(S)
927784,BDI,000000-00-0,,0,UNKNOWN AMOUNT,BUTADIENE,NO,,
927785,OSX,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 6",YES,0,UNKNOWN AMOUNT
927787,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,NO,,
927788,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927789,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927790,OUN,000000-00-0,,4,QUART(S),UNKNOWN OIL,UNKNOWN,0,UNKNOWN AMOUNT
927791,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927792,ODS,000000-00-0,,2,PINT(S),OIL: DIESEL,YES,2,PINT(S)
927793,OUN,000000-00-0,,2,TEASPOON(S),UNKNOWN OIL,YES,2,TEASPOON(S)
927794,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927795,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927797,OTW,000000-00-0,,1000,GALLON(S),"OIL, FUEL: NO. 2",YES,0,UNKNOWN AMOUNT
927798,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NITRO GLYCERIN,NO,,
927798,DTT,000000-00-0,,0,UNKNOWN AMOUNT,"2,4-DINITROTOLUENE",NO,,
927799,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,UNKNOWN,0,UNKNOWN AMOUNT
927800,LLS,000000-00-0,,10,GALLON(S),"LATEX, LIQUID SYNTHETIC",NO,,
927803,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927805,OTH,000000-00-0,,1000,GALLON(S),PROCESSING OIL,NO,,
927807,NCC,000000-00-0,,0,UNKNOWN AMOUNT,AMMONIA,NO,,
