SEQNOS,CHRIS_CODE,CAS_NUMBER,UN_NUMBER,AMOUNT_OF_MATERIAL,UNIT_OF_MEASURE,NAME_OF_MATERIAL,IF_REACHED_WATER,AMOUNT_IN_WATER,UNIT_OF_MEASURE_REACH_WATER
927517,OIL,000000-00-0,,1,GALLON(S),OIL: CRUDE,YES,1,GALLON(S)
927518,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927520,GAS,000000-00-0,,20,GALLON(S),GASOLINE: AUTOMOTIVE (UNLEADED),NO,,
927521,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RADIATION,NO,,
927522,RAM,000000-00-0,,0,UNKNOWN AMOUNT,RADIOACTIVE MATERIAL,NO,,
927523,OTD,000000-00-0,,1,CUP(S),"OIL, FUEL: NO. 2-D",YES,1,CUP(S)
927524,ODS,000000-00-0,,0,UNKNOWN AMOUNT,OIL: DIESEL,YES,0,UNKNOWN AMOUNT
927525,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,2.27,GALLON(S)
927526,ODS,000000-00-0,,50,GALLON(S),OIL: DIESEL,YES,50,GALLON(S)
927527,OTW,000000-00-0,,1,GALLON(S),"OIL, FUEL: NO. 2",NO,,
927528,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927529,ODS,000000-00-0,,5,GALLON(S),OIL: DIESEL,YES,5,GALLON(S)
927530,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927531,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927532,OIL,000000-00-0,,0.009,GALLON(S),OIL: CRUDE,YES,0.009,GALLON(S)
927533,NCC,000000-00-0,,605,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
927534,NCC,000000-00-0,,0.0053,GALLON(S),PRODUCED WATER,YES,0.0053,GALLON(S)
927535,OHY,000000-00-0,,5,GALLON(S),HYDRAULIC OIL,NO,,
927537,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927539,SDF,007681-49-4,,0,UNKNOWN AMOUNT,SODIUM FLUORIDE,YES,0,UNKNOWN AMOUNT
927539,HFS,000000-00-0,,0,UNKNOWN AMOUNT,HYDROFLUOROSILICIC ACID (25% OR,YES,0,UNKNOWN AMOUNT
927540,AMA,007664-41-7,,0,UNKNOWN AMOUNT,"AMMONIA, ANHYDROUS",NO,,
927541,ODS,000000-00-0,,0.5,GALLON(S),OIL: DIESEL,YES,0.5,GALLON(S)
927542,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927543,OIL,000000-00-0,,0,UNKNOWN AMOUNT,OIL: CRUDE,YES,0,UNKNOWN AMOUNT
927544,OMN,000000-00-0,,1350,GALLON(S),"OIL, MISC: MINERAL",YES,1350,GALLON(S)
927545,JPE,000000-00-0,,0,UNKNOWN AMOUNT,JET FUEL: JP-8,YES,0,UNKNOWN AMOUNT
927546,OIL,000000-00-0,,0.454,GALLON(S),OIL: CRUDE,YES,0.454,GALLON(S)
927547,OLB,000000-00-0,,5,GALLON(S),"OIL, MISC: LUBRICATING",YES,5,GALLON(S)
927549,GAS,000000-00-0,,0,UNKNOWN AMOUNT,GASOLINE: AUTOMOTIVE (UNLEADED),YES,0,UNKNOWN AMOUNT
927550,OTH,000000-00-0,,0.25,TEASPOON(S),BUNKER OIL,YES,0.25,TEASPOON(S)
927551,OLB,000000-00-0,,0,UNKNOWN AMOUNT,GEAR OIL,YES,0,UNKNOWN AMOUNT
927552,NCC,000000-00-0,,51.36,POUND(S),NITROGEN DIOXIDE,NO,,
927552,NCC,000000-00-0,,975.84,POUND(S),NITROGEN OXIDE SINGULAR,NO,,
927552,NCC,000000-00-0,,1027.2,POUND(S),NITROGEN OXIDE PLURAL,NO,,
927553,HDS,007783-06-4,,300,POUND(S),HYDROGEN SULFIDE,NO,,
927553,NCC,000000-00-0,,150,POUND(S),AMMONIA,NO,,
927554,NCC,000000-00-0,,500,GALLON(S),ORE SLURRY,NO,,
927555,NCC,000000-00-0,,0,UNKNOWN AMOUNT,NON ANHYDROUS AMMONIA,NO,,
927556,VCM,000075-01-4,,0,UNKNOWN AMOUNT,VINYL CHLORIDE,NO,,
927557,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,NO,,
927558,AMA,007664-41-7,,300,POUND(S),"AMMONIA, ANHYDROUS",NO,,
927559,UNK,000000-00-0,,0,UNKNOWN AMOUNT,SMELL FROM SUMP WATER,NO,,
927560,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927562,NCC,000000-00-0,,646,POUND(S),NON-ANHYDROUS AMMONIA,NO,,
927563,AMA,007664-41-7,,0.25,PINT(S),"AMMONIA, ANHYDROUS",NO,,
927565,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,NO,,
927566,NCC,000000-00-0,,21,GALLON(S),SYNTHETIC DRILLING MUD,YES,21,GALLON(S)
927567,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927568,UNK,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN MATERIAL,NO,,
927569,ASP,000000-00-0,,0,UNKNOWN AMOUNT,ASPHALT,NO,,
927570,NCC,000000-00-0,,500,POUND(S),CORN GERM MEAL,NO,,
927572,JPO,000000-00-0,,30,GALLON(S),JET FUEL: JP-1 (KEROSENE),NO,,
927573,OTD,000000-00-0,,700,GALLON(S),"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
927574,OIL,000000-00-0,,0.68182,GALLON(S),OIL: CRUDE,YES,0.68182,GALLON(S)
927575,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,NO,,
927576,NTO,000000-00-0,,10,POUND(S),NITROUS OXIDE,NO,,
927576,HDS,007783-06-4,,100,POUND(S),HYDROGEN SULFIDE,NO,,
927578,OTD,000000-00-0,,700,GALLON(S),"OIL, FUEL: NO. 2-D",NO,,
927579,CLX,007782-50-5,,10,POUND(S),CHLORINE,NO,,
927580,NCC,000000-00-0,,0,UNKNOWN AMOUNT,RAW SEWAGE,YES,0,UNKNOWN AMOUNT
927581,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
927582,OHY,000000-00-0,,1,TEASPOON(S),HYDRAULIC OIL,YES,1,TEASPOON(S)
927583,OTH,000000-00-0,,12,BARREL(S),CONDENSATE,NO,0,UNKNOWN AMOUNT
927583,ONG,000000-00-0,,0,UNKNOWN AMOUNT,NATURAL GAS,NO,,
927584,OIL,000000-00-0,,0.08,GALLON(S),OIL: CRUDE,YES,0.08,GALLON(S)
927585,OUN,000000-00-0,,0,UNKNOWN AMOUNT,UNKNOWN OIL,YES,0,UNKNOWN AMOUNT
927586,OIL,000000-00-0,,1,BARREL(S),OIL: CRUDE,NO,,
927587,BNZ,000071-43-2,,10,POUND(S),BENZENE,NO,,
927587,BDI,000000-00-0,,10,POUND(S),BUTADIENE,NO,,
927589,OTD,000000-00-0,,0,UNKNOWN AMOUNT,"OIL, FUEL: NO. 2-D",YES,0,UNKNOWN AMOUNT
927590,NCC,000000-00-0,,722.68,POUND(S),NITROGEN OXIDES,NO,,
927590,NCC,000000-00-0,,686.55,POUND(S),NITROGEN OXIDE,NO,,
927590,NCC,000000-00-0,,36.13,POUND(S),NITROGEN DIOXIDE,NO,,
